127.0.0.1 - - [17/May/2017:10:56:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:06 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:06 +0530] "GET /ChatZoneFE/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/HomeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:07 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:08 +0530] "GET /ChatZoneFE/Header/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:08 +0530] "GET /ChatZoneFE/Header/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:11 +0530] "GET /ChatZoneFE/Blog/Blog.html HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [17/May/2017:10:56:23 +0530] "POST /ChatZoneRestService/blog/ HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [17/May/2017:10:57:28 +0530] "POST /ChatZoneRestService/blog/ HTTP/1.1" 200 220
