127.0.0.1 - - [25/May/2017:23:03:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:46 +0530] "GET /ChatZoneFE/Controller/HomeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:47 +0530] "GET /ChatZoneFE/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:47 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:47 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:47 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:47 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:48 +0530] "GET /ChatZoneFE/Header/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:03:48 +0530] "GET /ChatZoneFE/Header/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:05:49 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:23:05:49 +0530] "GET /ChatZoneFE/lib/JQuery/jquery.js HTTP/1.1" 304 -
