127.0.0.1 - - [01/Jun/2017:14:27:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:31 +0530] "GET /ChatZoneFE/ HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-messages.js HTTP/1.1" 200 27981
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-resource.js HTTP/1.1" 200 35267
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-underscore.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-lodash.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-stomp.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-stockjs.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-ng-file-upload-all.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-ng-file-upload.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/lib/angular-upload.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/CommentController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/ChatController.js HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [01/Jun/2017:14:27:32 +0530] "GET /ChatZoneFE/Controller/CommentService.js HTTP/1.1" 304 -
